id,name,cuisine,rating,price,location,type,votes,vegetarian,delivery_time,description,cuisine_enc,type_enc,veg_enc,votes_norm
1,Spice Garden,Indian,4.5,250,Koregaon Park,Casual,1423,True,30,Authentic North Indian curries with aromatic spices and freshly baked naans,3,0,1,0.21748433440317896
2,La Bella Italia,Italian,4.3,600,Kalyani Nagar,Fine Dining,876,False,45,Handcrafted pasta and wood-fired pizzas inspired by Neapolitan traditions,4,2,0,0.1338835396607061
3,Dragon Palace,Chinese,4.1,350,Viman Nagar,Casual,654,False,35,Traditional dim sum and wok-tossed specialties with authentic Cantonese sauces,1,0,0,0.09995414947271894
4,Burger Barn,American,4.0,200,Wakad,Fast Food,2341,False,20,Juicy smash burgers with secret sauce and crispy shoestring fries,0,1,0,0.357786947883234
5,Zen Garden,Japanese,4.6,700,Baner,Fine Dining,432,False,50,Omakase sushi and slow-cooked ramen crafted by master chefs,5,2,0,0.06602475928473177
6,Mumbai Masala,Indian,4.4,180,Hadapsar,Fast Food,3210,True,25,Street-style chaats vada pav and iconic Mumbai specialties,3,1,1,0.49060064190738195
7,Pizza Pronto,Italian,4.2,400,Hinjewadi,Casual,1102,True,30,Crispy thin-crust pizzas with farm-fresh toppings and basil oil drizzle,4,0,1,0.16842427021244077
8,Chopstick House,Chinese,3.9,300,Pimpri,Casual,543,True,40,Vegetarian-friendly Chinese with mock meats and seasonal tofu specials,1,0,1,0.08298945437872536
9,The Smokehouse,American,4.7,800,Koregaon Park,Fine Dining,765,False,60,Premium BBQ brisket craft cocktails and authentic deep South hospitality,0,2,0,0.11691884456671252
10,Saffron Royale,Indian,4.8,900,Kalyani Nagar,Fine Dining,921,False,55,Royal Mughlai cuisine served with live ghazal music and ornate ambience,3,2,0,0.14076111875286565
11,Taco Fiesta,Mexican,4.0,350,Viman Nagar,Casual,678,True,30,Loaded tacos and burritos with smoky chipotle salsa and guacamole,8,0,1,0.10362219165520403
12,Green Bowl,Healthy,4.5,450,Baner,Casual,843,True,35,Nourishing grain bowls acai smoothies and cold-pressed juices,2,0,1,0.12883998165978908
13,Pho Saigon,Vietnamese,4.3,380,Kothrud,Casual,312,False,40,Slow-cooked broths and authentic Vietnamese street food traditions,9,0,0,0.04768454837230628
14,The Curry Club,Indian,4.2,320,Wakad,Casual,1567,True,35,Regional Indian curries from every state served in one vibrant kitchen,3,0,1,0.23949258749808955
15,Pasta e Basta,Italian,4.6,550,Boat Club Road,Fine Dining,654,True,45,Michelin-inspired house-made pasta with a curated Italian wine list,4,2,1,0.09995414947271894
16,McBurger Diner,American,3.8,150,Hadapsar,Fast Food,4321,False,15,Classic burgers and loaded fries in a retro American diner setting,0,1,0,0.6604004279382546
17,Wok This Way,Chinese,4.1,280,Aundh,Casual,432,True,30,Farm-to-wok seasonal Chinese cuisine crafted without MSG,1,0,1,0.06602475928473177
18,Tandoor Express,Indian,4.3,200,Shivaji Nagar,Fast Food,2109,True,20,Freshly baked naans and smoky tandoor specials made to order,3,1,1,0.32232920678587806
19,The Olive Garden,Mediterranean,4.5,600,Koregaon Park,Fine Dining,387,True,50,Fresh mezze platters wood-fired pita and curated Levantine wines,7,2,1,0.059147180192572216
20,Seoul Kitchen,Korean,4.4,420,Viman Nagar,Casual,543,False,40,Authentic bibimbap and Korean BBQ grilled right at your table,6,0,0,0.08298945437872536
21,Biryani Bros,Indian,4.7,280,Magarpatta,Casual,3421,False,30,Award-winning slow dum biryani served with mirchi ka salan,3,0,0,0.5228488460950634
22,Napoli Express,Italian,4.0,300,Pimpri,Fast Food,765,True,25,Quick-serve Neapolitan calzones and stromboli fresh from the oven,4,1,1,0.11691884456671252
23,Fortune Garden,Chinese,4.2,320,Kalyani Nagar,Casual,876,False,35,Cantonese seafood specialties and weekend dim sum brunch experience,1,0,0,0.1338835396607061
24,Five Guys Style,American,4.3,350,Baner,Casual,1234,False,25,Fully customizable hand-packed burgers with fresh-cut fries,0,0,0,0.18859850221610883
25,Wasabi Lab,Japanese,4.5,650,Koregaon Park,Fine Dining,298,False,55,Modern Japanese cuisine meets molecular gastronomy in every dish,5,2,0,0.04554485709918998
26,Dal Makhani House,Indian,4.6,220,Pune Camp,Casual,2876,True,30,Slow-simmered black lentil dal makhani with buttery naans and rice,3,0,1,0.4395537215344643
27,Trattoria Roma,Italian,4.4,520,Kalyani Nagar,Casual,543,False,40,Roman-style trattoria with house-made tagliatelle and osso buco,4,0,0,0.08298945437872536
28,Sichuan Spice,Chinese,4.3,390,Viman Nagar,Casual,654,False,35,Fiery Sichuan cuisine with mouth-numbing mala hot pot,1,0,0,0.09995414947271894
29,Texas BBQ,American,4.5,750,Koregaon Park,Fine Dining,432,False,50,Texas-style slow-smoked meats with house-made BBQ sauce,0,2,0,0.06602475928473177
30,Ramen Republic,Japanese,4.4,480,Baner,Casual,876,False,40,Rich tonkotsu and shoyu ramen with handmade noodles,5,0,0,0.1338835396607061
31,Chole Bhature Co,Indian,4.3,150,Shivaji Nagar,Fast Food,3654,True,15,Fluffy bhature with spiced chickpea curry and fresh pickle,3,1,1,0.5584594222833562
32,Margherita Milano,Italian,4.5,450,Hinjewadi,Casual,765,True,30,Classic Margherita and seasonal specials from a wood-fired oven,4,0,1,0.11691884456671252
33,Peking Duck House,Chinese,4.6,550,Kalyani Nagar,Fine Dining,432,False,45,Signature Peking duck with thin pancakes and hoisin sauce,1,2,0,0.06602475928473177
34,Shake Shack Style,American,4.2,300,Wakad,Fast Food,1876,False,20,Signature ShackBurger style patties with crinkle-cut fries,0,1,0,0.2867186305975852
35,Sushi Zen,Japanese,4.7,720,Koregaon Park,Fine Dining,543,False,55,Omakase experience with seasonal sushi and sake pairings,5,2,0,0.08298945437872536
36,Maa Ki Rasoi,Indian,4.5,200,Hadapsar,Casual,2109,True,30,Home-style Indian cooking with seasonal vegetables and dal tadka,3,0,1,0.32232920678587806
37,Carbonara Club,Italian,4.3,500,Baner,Casual,654,False,40,Roman pasta classics including carbonara cacio e pepe and amatriciana,4,0,0,0.09995414947271894
38,Golden Dragon,Chinese,4.0,280,Aundh,Casual,765,True,30,Classic Chinese takeaway with fried rice and Manchurian,1,0,1,0.11691884456671252
