id,name,cuisine,rating,cost_for_two,location,type,votes,vegetarian,delivery_time,description
1,Spice Garden,Indian,4.5,250,Koregaon Park,Casual,1423,True,30,Authentic North Indian curries with aromatic spices and freshly baked naans
2,La Bella Italia,Italian,4.3,600,Kalyani Nagar,Fine Dining,876,False,45,Handcrafted pasta and wood-fired pizzas inspired by Neapolitan traditions
3,Dragon Palace,Chinese,4.1,350,Viman Nagar,Casual,654,False,35,Traditional dim sum and wok-tossed specialties with authentic Cantonese sauces
4,Burger Barn,American,4.0,200,Wakad,Fast Food,2341,False,20,Juicy smash burgers with secret sauce and crispy shoestring fries
5,Zen Garden,Japanese,4.6,700,Baner,Fine Dining,432,False,50,Omakase sushi and slow-cooked ramen crafted by master chefs
6,Mumbai Masala,Indian,4.4,180,Hadapsar,Fast Food,3210,True,25,Street-style chaats vada pav and iconic Mumbai specialties
7,Pizza Pronto,Italian,4.2,400,Hinjewadi,Casual,1102,True,30,Crispy thin-crust pizzas with farm-fresh toppings and basil oil drizzle
8,Chopstick House,Chinese,3.9,300,Pimpri,Casual,543,True,40,Vegetarian-friendly Chinese with mock meats and seasonal tofu specials
9,The Smokehouse,American,4.7,800,Koregaon Park,Fine Dining,765,False,60,Premium BBQ brisket craft cocktails and authentic deep South hospitality
10,Saffron Royale,Indian,4.8,900,Kalyani Nagar,Fine Dining,921,False,55,Royal Mughlai cuisine served with live ghazal music and ornate ambience
11,Taco Fiesta,Mexican,4.0,350,Viman Nagar,Casual,678,True,30,Loaded tacos and burritos with smoky chipotle salsa and guacamole
12,Green Bowl,Healthy,4.5,450,Baner,Casual,843,True,35,Nourishing grain bowls acai smoothies and cold-pressed juices
13,Pho Saigon,Vietnamese,4.3,380,Kothrud,Casual,312,False,40,Slow-cooked broths and authentic Vietnamese street food traditions
14,The Curry Club,Indian,4.2,320,Wakad,Casual,1567,True,35,Regional Indian curries from every state served in one vibrant kitchen
15,Pasta e Basta,Italian,4.6,550,Boat Club Road,Fine Dining,654,True,45,Michelin-inspired house-made pasta with a curated Italian wine list
16,McBurger Diner,American,3.8,150,Hadapsar,Fast Food,4321,False,15,Classic burgers and loaded fries in a retro American diner setting
17,Wok This Way,Chinese,4.1,280,Aundh,Casual,432,True,30,Farm-to-wok seasonal Chinese cuisine crafted without MSG
